"titles";"years";"odometer";"vehicle_type";"engine";"gearbox";"prices";"locations"
"ToyotaWish7SEATERLOW82KMXMASSPECIAL2005";2005;82500;" Station Wagon";" 1800cc petrol engine";" automatic";7790;"Auckland"
"ToyotaWish7seaterfamilycarAlloys2005";2005;141707;" Van";" 1800cc petrol engine";" automatic";5500;"Canterbury"
"ToyotaWishBLACKCOLOUR2007";2007;92174;" Van";" 1794cc petrol engine";" automatic";7495;"Auckland"
"ToyotaWish1.8XPackage7seater2008";2008;56234;" Station Wagon";" 1800cc petrol engine";" automatic";10749;"Auckland"
"ToyotaWish***ArrivingSoon***2007";2007;94000;" Van";" 1800cc petrol engine";" automatic";7299;"Auckland"
"ToyotaWish7SeatersAeroSports1.8L2008";2008;106000;" Station Wagon";" 1800cc petrol engine";" tiptronic";9500;"Auckland"
"ToyotaWish2005";2005;101729;" RV/SUV";" 1794cc petrol engine";" automatic";5000;"Christchurch City"
"ToyotaWish2005";2005;86856;" Station Wagon";" 1794cc petrol engine";" automatic";9990;"Wellington"
"ToyotaWish1.8XFinancefrom$45pw2007";2007;132807;" Van";" 1800cc petrol engine";" automatic";5490;"Auckland"
"ToyotaWish2005";2005;105000;" RV/SUV";" 2000cc petrol engine";NA;8750;"Auckland"
"ToyotaWish2008";2008;59000;" Van";" 1800cc petrol engine";" automatic";8699;"Auckland"
"ToyotaWish2004";2004;42803;" RV/SUV";" 1794cc petrol engine";" automatic";8500;"Palmerston North"
"ToyotaWish**MegWheels**RevCamera**2005";2005;104000;" Station Wagon";" 1800cc petrol engine";" automatic";5990;"Waikato"
"ToyotaWishNewModelLowKm2009";2009;54000;" Station Wagon";" 1790cc petrol engine";" automatic";14990;"Auckland"
"ToyotaWishSUPERLOWKM`S2005";2005;35823;" Van";" 1790cc petrol engine";" automatic";7495;"Auckland"
"ToyotaWishAAAPPRAISEDALLOYS2005";2005;92900;" Station Wagon";" 1800cc petrol engine";" automatic";6800;"Auckland"
"ToyotaWishBLACKCOLOUR2006";2006;73449;" Van";" 1794cc petrol engine";" automatic";7995;"Auckland"
"ToyotaWish1800ccSPORTS2004";2004;69800;" Station Wagon";" 1800cc petrol engine";" automatic";6995;"Auckland"
"ToyotaWish1800ccSPORTS2004";2004;76140;" Station Wagon";" 1800cc petrol engine";" automatic";6800;"Auckland"
"ToyotaWishSPECIAL1.8XHIDSELECTION2009";2009;86000;" Van";" 1800cc petrol engine";" automatic";11990;"Auckland"
"ToyotaWish2006";2006;54102;" Station Wagon";" 1794cc petrol engine";" automatic";5000;"Manukau City"
"ToyotaWish2006";2006;111402;" Van";" 1790cc petrol engine";" automatic";7990;"Auckland"
"ToyotaWish7SeatFamilyCar2006";2006;100000;" Station Wagon";" 1800cc petrol engine";" automatic";6750;"Auckland"
"ToyotaWish85KLowkmVERYTIDYCONDITION2005";2005;85890;" Station Wagon";" 1990cc petrol engine";" automatic";6390;"Auckland"
"ToyotaWish**GetFinanceat8.75%**2005";2005;89000;" Station Wagon";" 1800cc petrol engine";" automatic";6700;"Auckland"
"ToyotaWishSport2004";2004;151313;" RV/SUV";" 1794cc petrol engine";" automatic";6990;"Auckland City"
"ToyotaWish1.87SeaterStationWagonCam...2004";2004;103932;" Station Wagon";" 1800cc petrol engine";" automatic";5995;"Auckland"
"ToyotaWish1.8XHIDSELECTION2010";2010;67822;" Station Wagon";" 1800cc petrol engine";" automatic";13970;"Auckland"
"ToyotaWish1.8AutoWagon2009";2009;83255;" Station Wagon";" 1800cc petrol engine";" tiptronic";16990;"Auckland"
