"titles";"years";"odometer";"vehicle_type";"engine";"gearbox";"prices"
"ToyotaRactis1.5LVVT-iSportHighSpec2009";"2009";88000;" Hatchback";" 1500cc petrol engine";" automatic";8950
"ToyotaBB2001";"2001";150911;" Hatchback";" 1290cc petrol engine";" automatic";4200
"ToyotaVitz1.5L(ToyotaYaris)78000KM2007";"2007";78000;" Hatchback";" 1500cc petrol engine";" automatic";8500
"ToyotaPrius2011";"2011";77800;" Hatchback";" 1500cc hybrid engine";" automatic";10850
"ToyotaIst1500CCSport2005";"2005";77245;" Hatchback";" 1500cc petrol engine";" automatic";6750
"ToyotaMark-X250G,Top-SPEC,LowKMs2005";"2005";32200;" Sedan";" 2500cc petrol engine";" automatic";8854
"ToyotaPriusLowKms2011";"2011";54000;" Hatchback";" 1500cc petrol engine";" automatic";11500
"ToyotaVitz1000CC2000";"2000";85012;" Hatchback";" 997cc petrol engine";" manual";5490
"ToyotaRAV4G4WD2006";"2006";68220;" RV/SUV";" 2400cc petrol engine";" automatic";16990
"ToyotaAllex-from$36.78weekly-Penros...2004";"2004";54480;" Hatchback";" 1500cc petrol engine";" automatic";6479
"ToyotaAllionA18GPremium2005";"2005";88816;" Sedan";" 1800cc petrol engine";" automatic";6740
"ToyotaWish1.8XPackage7seater2008";"2008";56234;" Station Wagon";" 1800cc petrol engine";" automatic";10749
"ToyotaIpsum240Iwithparkingsensors2005";"2005";77859;" Station Wagon";" 2400cc petrol engine";" automatic";7249
"ToyotaRAV4HighSpecs!Cruisecontrol2006";"2006";77000;" RV/SUV";" 2400cc";" automatic";13300
"ToyotaMark-XZio240F7SeaterKeylessVVT-i2007";"2007";39735;" Station Wagon";" 2400cc petrol engine";" automatic";12989
"ToyotaAurisCorolla1.5XSPackage2008";"2008";59363;" Hatchback";" 1500cc petrol engine";" automatic";9990
"ToyotaPriusFacelift3rd2013";"2013";64930;" Hatchback";" 1800cc petrol engine";" automatic";18300
"ToyotaHiaceDXLONG_5DOORS2006";"2006";158000;" Van";" 2000cc petrol engine";" automatic";14995
"ToyotaMark-X250GGREATCONDITIONSPECIAL...2005";"2005";70440;" Sedan";" 2500cc petrol engine";" tiptronic";8200
"ToyotaCorolla-from$39.02weekly-Penr...2007";"2007";103630;" Station Wagon";" 1500cc petrol engine";" automatic";6979
"ToyotaVitz1300cclowmileage2005";"2005";42650;" Hatchback";" 1300cc petrol engine";" automatic";6500
"ToyotaWishBLACKCOLOUR2007";"2007";92174;" Van";" 1794cc petrol engine";" automatic";7495
"ToyotaCamryONLY2000KMSPARKINGSENSORS...2006";"2006";2000;" Sedan";" 2400cc petrol engine";" automatic";11490
"ToyotaAltezzaGita2001";"2001";146637;" Station Wagon";" 1988cc petrol engine";" automatic";5999
"ToyotaEstimaAERUSGEdition8seats2004";"2004";158000;" Station Wagon";" 2362cc petrol engine";" manual";5970
"ToyotaVitz-from$34.53weekly-Penrose...2005";"2005";77552;" Hatchback";" 1300cc petrol engine";" automatic";5979
"ToyotaIst1.3F2005";"2005";32624;" Hatchback";" 1298cc petrol engine";" automatic";6970
"ToyotaVitz-from$32.29weekly-NewLyn...2005";"2005";93115;" Hatchback";" 1300cc petrol engine";" automatic";5479
"ToyotaAllion*SUPERLOWKM`S*2007";"2007";21000;" Sedan";" 1790cc petrol engine";" automatic";9995
"ToyotaBlade2.4LGModel2007";"2007";96920;" Hatchback";" 2400cc petrol engine";" tiptronic";7995
"ToyotaVitzAccessibleVehicle2006";"2006";102644;" Hatchback";" 1300cc petrol engine";" automatic";5989
"ToyotaCamry2.0Zx1996";"1996";155419;" Sedan";" 1998cc petrol engine";NA;3000
"ToyotaCorollaRUNX2004";"2004";81357;" Hatchback";" 1496cc petrol engine";" automatic";7495
"ToyotaBladeGLOW77KMXMASSPECIAL!2007";"2007";77500;" Hatchback";" 2400cc petrol engine";" automatic";10840
"ToyotaCrown2004";"2004";104907;" Sedan";" 2490cc petrol engine";" automatic";7000
"ToyotaLandCruiserTdLxWgn52009";"2009";117929;" RV/SUV";" 4461cc diesel engine";" manual";3830012
"ToyotaAuris180GSPackage*PUSHSTART*2007";"2007";85000;" Hatchback";" 1800cc petrol engine";" automatic";10499
"ToyotaVitz2006";"2006";72000;" Hatchback";" 1300cc petrol engine";" automatic";6490
"ToyotaAuris150XMPACKAGE*PUSHSTART*2007";"2007";79195;" Hatchback";" 1500cc petrol engine";" automatic";10350
"ToyotaCorollaSpacio2004";"2004";84204;" Station Wagon";" 1500cc petrol engine";" automatic";5990
"ToyotaIst-from$34.53weekly-Penrose...2005";"2005";78559;" Hatchback";" 1300cc petrol engine";" automatic";5979
"ToyotaAltezza1999";"1999";130000;" Sedan";" 1998cc petrol engine";" automatic";6500
"ToyotaYaris1.3LAUTOHATCH(NZNEW)2011";"2011";85748;" Hatchback";" 1300cc petrol engine";" automatic";9450
"ToyotaAuris/COROLLANEWSHAPESUPERLOWKMS2011";"2011";21000;" Hatchback";" 1500cc petrol engine";" automatic";13990
"ToyotaWish7SeatersAeroSports1.8L2008";"2008";106000;" Station Wagon";" 1800cc petrol engine";" tiptronic";9500
"ToyotaFielderCorollaWagon1.5L66000KM2007";"2007";66000;" Station Wagon";" 1500cc petrol engine";" automatic";9750
"ToyotaRunxCOROLLALOW72KMSPECIAL!2004";"2004";72500;" Hatchback";" 1500cc petrol engine";" automatic";7290
"ToyotaCaldinaGT1998";"1998";138656;" RV/SUV";" 1998cc petrol engine";" automatic";4750
"ToyotaAllex-from$39.02weekly-Penros...2004";"2004";48807;" Hatchback";" 1500cc petrol engine";" automatic";6979
"ToyotaHiaceZL,5Door,Diesel,Automatic2013";"2013";180800;" Van";" 2982cc diesel engine";" automatic";27990
"ToyotaIstCHRISTMASSPECIAL!!!2004";"2004";119500;" Hatchback";" 1300cc petrol engine";" automatic";4980
"ToyotaMark-X300Gpremium2005";"2005";105194;" Sedan";" 2994cc petrol engine";" tiptronic";10500
"ToyotaCaldinaGtt1997";"1997";179314;" Station Wagon";" 1999cc petrol engine";NA;6000
"ToyotaHiaceRegiusAce2010";"2010";132000;" Van";" 2982cc diesel engine";" automatic";27990
"ToyotaHarrier300G2WDNoDepositFinance2004";"2004";112924;" RV/SUV";" 2994cc petrol engine";" automatic";15999
"ToyotaCorollaRunx2003";"2003";112000;" Hatchback";" 1496cc petrol engine";" automatic";6000
"ToyotaVanguard2.4L7SeatersOnly36000KM2008";"2008";36000;" RV/SUV";" 2400cc petrol engine";" tiptronic";23500
"ToyotaLandCruiserPradoVx2013";"2013";43866;" RV/SUV";" 2982cc diesel engine";" automatic";65000
"ToyotaHiace2011";"2011";182070;" Van";" 2982cc diesel engine";" manual";25990
"ToyotaCorollaGx2011";"2011";97804;" Hatchback";" 1798cc petrol engine";" manual";11000
